room_id,name,capacity,num_columns
EEE303,Digital Lab EEE303,49,6
EEE315,Electronics Lab EEE315,44,5
EEE311,Circuit Lab EEE311,43,5
EEE316,Circuit Lab EEE316,48,6
EEE304,Classroom EEE304,59,7
EEE305,Lecture Hall EEE305,56,7
EEE308,Lecture Hall EEE308,35,4
EEE310,Classroom EEE310,35,4
EEE312,Lecture Hall EEE312,48,6
EEE314,Lecture Hall EEE314,34,4
EEE307,Lecture Hall EEE307,43,5
EEE301,Classroom EEE301,56,7
EEE302,Lecture Hall EEE302,34,4
EEE309,Lecture Hall EEE309,45,6
EEE306,Lecture Hall EEE306,41,5
EEE313,Lecture Hall EEE313,50,6
CSE412,Software Lab CSE412,57,7
CSE411,Software Lab CSE411,50,6
CSE416,Software Lab CSE416,44,5
CSE402,AI Lab CSE402,44,5
CSE408,Lecture Hall CSE408,48,6
CSE406,Classroom CSE406,56,7
CSE401,Classroom CSE401,39,5
CSE403,Classroom CSE403,54,6
CSE407,Lecture Hall CSE407,48,6
CSE415,Lecture Hall CSE415,31,4
CSE413,Lecture Hall CSE413,45,6
CSE404,Classroom CSE404,60,7
CSE414,Lecture Hall CSE414,33,4
CSE405,Lecture Hall CSE405,56,7
CSE410,Lecture Hall CSE410,35,4
CSE409,Classroom CSE409,37,5
LAW501,Legal Aid Clinic LAW501,44,5
LAW511,Moot Court LAW511,53,6
LAW504,Legal Aid Clinic LAW504,46,6
LAW515,Legal Aid Clinic LAW515,41,5
LAW502,Classroom LAW502,57,7
LAW503,Classroom LAW503,34,4
LAW508,Classroom LAW508,54,6
LAW509,Lecture Hall LAW509,51,6
LAW507,Classroom LAW507,38,5
LAW513,Classroom LAW513,46,6
LAW512,Classroom LAW512,44,5
LAW514,Lecture Hall LAW514,30,4
LAW516,Lecture Hall LAW516,30,4
LAW506,Classroom LAW506,42,5
LAW510,Lecture Hall LAW510,58,7
LAW505,Lecture Hall LAW505,45,6
